"iso3","country_name","disaggregation","category","subject","grade_band","is_africa","income_level","income_level_code","Region_Code","Region","n_unweighted","pct_weighted","n_weighted","pct_unweighted","pct_weighted_loess_span1"
"AZE","Azerbaijan","Wealth","Poorest","numeracy","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",213,58.1168342023098,213,61.0328638497653,58.1168342023098
"AZE","Azerbaijan","Wealth","Poorest","reading","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",220,35.9128325115123,220,35.9090909090909,35.9128325115123
"AZE","Azerbaijan","Wealth","Poorest","reading","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",268,56.5536381228421,268,57.4626865671642,56.5536381228421
"AZE","Azerbaijan","Wealth","Poorest","reading","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",213,64.1041577605206,213,67.1361502347418,64.1041577605206
"AZE","Azerbaijan","Wealth","Richest","numeracy","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",79,69.1628440117952,79,75.9493670886076,69.1628440117952
"AZE","Azerbaijan","Wealth","Richest","numeracy","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",107,95.8511569238373,107,92.5233644859813,95.8511569238373
"AZE","Azerbaijan","Wealth","Richest","numeracy","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",79,89.4533905246772,79,88.6075949367089,89.4533905246772
"AZE","Azerbaijan","Wealth","Richest","reading","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",79,74.2171755667126,79,69.620253164557,74.2171755667126
"AZE","Azerbaijan","Wealth","Richest","reading","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",107,87.8456314182655,107,82.2429906542056,87.8456314182655
"AZE","Azerbaijan","Wealth","Richest","reading","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",79,84.5227107647677,79,78.4810126582278,84.5227107647677
"AZE","Azerbaijan","Area","Rural","numeracy","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",489,45.3225311789269,489,44.3762781186094,45.3225311789269
"AZE","Azerbaijan","Area","Rural","numeracy","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",582,66.0024039918,582,65.807560137457,66.0024039918
