"iso3","country_name","disaggregation","category","subject","grade","is_africa","income_level","income_level_code","Region_Code","Region","n_unweighted","pct_weighted","n_weighted","pct_unweighted","pct_weighted_loess_span1"
"AFG","Afghanistan","Area","Rural","numeracy",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",35,50.3847021288722,35,54.2857142857143,50.769422778436
"AFG","Afghanistan","Area","Rural","reading",1,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",752,1.55412497598452,752,1.99468085106383,1.78192155089764
"AFG","Afghanistan","Area","Rural","reading",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",718,8.18391337832838,718,6.54596100278552,7.78450195104442
"AFG","Afghanistan","Area","Rural","reading",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",586,14.507838455834,586,11.9453924914676,14.3836590639869
"AFG","Afghanistan","Area","Rural","reading",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",506,21.3037250816372,506,21.5415019762846,21.5718631871419
"AFG","Afghanistan","Area","Rural","reading",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",411,29.0198740198837,411,28.7104622871046,29.7933561834303
"AFG","Afghanistan","Area","Rural","reading",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",351,39.0516148753399,351,37.8917378917379,37.6684292268067
"AFG","Afghanistan","Area","Rural","reading",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",229,45.7005589195243,229,47.5982532751092,44.891946109572
"AFG","Afghanistan","Area","Rural","reading",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",35,50.7601907042513,35,51.4285714285714,51.4421438025628
"AFG","Afghanistan","Wealth","Second","numeracy",1,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",229,2.30301729090461,229,3.93013100436681,1.38971084677085
"AFG","Afghanistan","Wealth","Second","numeracy",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",223,5.82032388404041,223,8.52017937219731,7.75000899936815
"AFG","Afghanistan","Wealth","Second","numeracy",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",151,15.7532319649534,151,17.2185430463576,14.6749142650842
"AFG","Afghanistan","Wealth","Second","numeracy",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",116,19.6816950262593,116,25.8620689655172,22.1869286597221
